,,1,2,3,4,5,6,7,8,,,,2.449489743
0.036,0,0.028,0.032,0.036,0.036,0.04,0.036,0.04,0.032,0.028,0.034222222,0,0.004262961
0.30000001,0,0.38800001,0.38,0.368,0.368,0.37599999,0.368,0.384,0.38800001,0.368,0.376444446,0,0.008314797
0.89600003,0,0.74000001,0.72399998,0.74400002,0.74400002,0.736,0.75199997,0.75199997,0.74000001,0.72399998,0.739555551,0,0.009696634
0.68000001,0,0.59600002,0.60000002,0.60000002,0.60000002,0.60399997,0.60399997,0.60000002,0.61199999,0.59600002,0.601333339,0,0.004618788
0.088,0,0.2,0.208,0.208,0.184,0.184,0.18799999,0.18799999,0.184,0.184,0.191999998,0,0.00979796
0.336,0,0.48800001,0.50800002,0.5,0.50400001,0.50800002,0.5,0.51999998,0.48800001,0.48800001,0.500444451,0,0.010404173
0.53600001,0,0.51200002,0.51200002,0.54400003,0.54000002,0.51200002,0.50400001,0.50400001,0.51599997,0.50400001,0.516444457,0,0.014291503
0.96799999,0,0.98000002,0.97600001,0.98400003,0.98400003,0.98799998,0.98799998,0.98799998,0.98799998,0.97600001,0.983555558,0,0.0047868
0.032,0,0.04,0.04,0.044,0.036,0.036,0.032,0.032,0.032,0.032,0.036,0,0.00421637
0.26800001,0,0.37599999,0.38,0.39199999,0.38800001,0.396,0.39199999,0.38800001,0.38800001,0.37599999,0.386222221,0,0.006827687
0.90799999,0,0.736,0.74400002,0.736,0.75199997,0.74800003,0.73199999,0.736,0.72399998,0.72399998,0.736888886,0,0.009194745
0.68800002,0,0.60799998,0.60799998,0.60000002,0.61199999,0.60000002,0.61199999,0.60399997,0.60799998,0.60000002,0.605777772,0,0.00466136
0.1,0,0.18000001,0.18799999,0.18799999,0.18000001,0.192,0.19599999,0.19599999,0.2,0.18000001,0.188888888,0,0.007248664
